Elapsed_time	Temp_cum	Temperature	Num_plante	Genotype	Num_talle	Num_cohorte	Num_rang	Sum_temp	Peduncle_length	Peduncle_final_length	Peduncle_surface	Peduncle_PAR	Photosynthetic
85.0	391.5	2.0	4	Maxwell	(1, 3, 3, 2)	10	0	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 3, 3)	7	3	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 3, 4, 1)	10	0	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 3, 4)	8	2	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 3, 6)	10	0	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 3)	3	7	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 4, 1, 1, 1)	10	0	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 4, 1, 1)	8	2	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 4, 1, 3)	10	0	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 4, 1)	6	4	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 4, 2, 2)	10	0	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 4, 2)	7	3	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 4, 3, 1)	10	0	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 4, 3)	8	2	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 4, 5)	10	0	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 4)	4	6	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 5, 1, 2)	10	0	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 5, 1)	7	3	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 5, 2, 1)	10	0	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 5, 2)	8	2	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 5, 4)	10	0	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 5)	5	5	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 6, 1, 1)	10	0	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 6, 1)	8	2	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 6, 3)	10	0	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 6)	6	4	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 7, 2)	10	0	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 7)	7	3	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 8, 1)	10	0	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 8)	8	2	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1, 10)	10	0	15.9	0	31.5844	0.0	0	True
85.0	391.5	2.0	4	Maxwell	(1,)	-1	11	24.9	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 1, 1, 1, 1)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 1, 1, 1)	8	2	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 1, 1, 3)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 1, 1)	6	4	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 1, 2, 2)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 1, 2)	7	3	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 1, 3, 1)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 1, 3)	8	2	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 1, 5)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 1)	4	6	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 2, 1, 2)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 2, 1)	7	3	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 2, 2, 1)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 2, 2)	8	2	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 2, 4)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 2)	5	5	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 3, 1, 1)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 3, 1)	8	2	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 3, 3)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 3)	6	4	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 4, 2)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 4)	7	3	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 5, 1)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 5)	8	2	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2, 7)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 2)	2	8	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 3, 1, 1, 2)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 3, 1, 1)	7	3	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 3, 1, 2, 1)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 3, 1, 2)	8	2	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 3, 1, 4)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 3, 1)	5	5	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 3, 2, 1, 1)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 3, 2, 1)	8	2	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 3, 2, 3)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 3, 2)	6	4	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 3, 3, 2)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 3, 3)	7	3	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 3, 4, 1)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 3, 4)	8	2	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 3, 6)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 3)	3	7	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 4, 1, 1, 1)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 4, 1, 1)	8	2	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 4, 1, 3)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 4, 1)	6	4	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 4, 2, 2)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 4, 2)	7	3	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 4, 3, 1)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 4, 3)	8	2	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 4, 5)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 4)	4	6	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 5, 1, 2)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 5, 1)	7	3	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 5, 2, 1)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 5, 2)	8	2	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 5, 4)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 5)	5	5	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 6, 1, 1)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 6, 1)	8	2	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 6, 3)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 6)	6	4	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 7, 2)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 7)	7	3	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 8, 1)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 8)	8	2	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1, 10)	10	0	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	1	Maxwell	(1,)	-1	11	10.9	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 1, 1, 1, 1)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 1, 1, 1)	8	2	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 1, 1, 3)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 1, 1)	6	4	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 1, 2, 2)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 1, 2)	7	3	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 1, 3, 1)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 1, 3)	8	2	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 1, 5)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 1)	4	6	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 2, 1, 2)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 2, 1)	7	3	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 2, 2, 1)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 2, 2)	8	2	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 2, 4)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 2)	5	5	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 3, 1, 1)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 3, 1)	8	2	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 3, 3)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 3)	6	4	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 4, 2)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 4)	7	3	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 5, 1)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 5)	8	2	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2, 7)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 2)	2	8	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 3, 1, 1, 2)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 3, 1, 1)	7	3	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 3, 1, 2, 1)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 3, 1, 2)	8	2	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 3, 1, 4)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 3, 1)	5	5	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 3, 2, 1, 1)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 3, 2, 1)	8	2	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 3, 2, 3)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 3, 2)	6	4	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 3, 3, 2)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 3, 3)	7	3	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 3, 4, 1)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 3, 4)	8	2	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 3, 6)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 3)	3	7	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 4, 1, 1, 1)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 4, 1, 1)	8	2	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 4, 1, 3)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 4, 1)	6	4	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 4, 2, 2)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 4, 2)	7	3	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 4, 3, 1)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 4, 3)	8	2	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 4, 5)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 4)	4	6	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 5, 1, 2)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 5, 1)	7	3	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 5, 2, 1)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 5, 2)	8	2	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 5, 4)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 5)	5	5	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 6, 1, 1)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 6, 1)	8	2	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 6, 3)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 6)	6	4	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 7, 2)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 7)	7	3	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 8, 1)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 8)	8	2	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1, 10)	10	0	2.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	2	Maxwell	(1,)	-1	11	4.1	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 1, 1, 1, 1)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 1, 1, 1)	8	2	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 1, 1, 3)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 1, 1)	6	4	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 1, 2, 2)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 1, 2)	7	3	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 1, 3, 1)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 1, 3)	8	2	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 1, 5)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 1)	4	6	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 2, 1, 2)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 2, 1)	7	3	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 2, 2, 1)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 2, 2)	8	2	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 2, 4)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 2)	5	5	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 3, 1, 1)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 3, 1)	8	2	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 3, 3)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 3)	6	4	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 4, 2)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 4)	7	3	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 5, 1)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 5)	8	2	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2, 7)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 2)	2	8	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 3, 1, 1, 2)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 3, 1, 1)	7	3	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 3, 1, 2, 1)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 3, 1, 2)	8	2	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 3, 1, 4)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 3, 1)	5	5	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 3, 2, 1, 1)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 3, 2, 1)	8	2	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 3, 2, 3)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 3, 2)	6	4	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 3, 3, 2)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 3, 3)	7	3	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 3, 4, 1)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 3, 4)	8	2	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 3, 6)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 3)	3	7	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 4, 1, 1, 1)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 4, 1, 1)	8	2	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 4, 1, 3)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 4, 1)	6	4	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 4, 2, 2)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 4, 2)	7	3	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 4, 3, 1)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 4, 3)	8	2	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 4, 5)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 4)	4	6	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 5, 1, 2)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 5, 1)	7	3	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 5, 2, 1)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 5, 2)	8	2	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 5, 4)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 5)	5	5	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 6, 1, 1)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 6, 1)	8	2	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 6, 3)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 6)	6	4	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 7, 2)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 7)	7	3	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 8, 1)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 8)	8	2	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1, 10)	10	0	18.0	0	31.5844	0.0	0	True
86.0	393.6	2.1	4	Maxwell	(1,)	-1	11	27.0	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 1, 1, 1, 1)	10	0	4.3	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 1, 1, 1)	8	2	4.3	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 1, 1, 3)	10	0	4.3	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 1, 1)	6	4	4.3	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 1, 2, 2)	10	0	4.3	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 1, 2)	7	3	4.3	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 1, 3, 1)	10	0	4.3	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 1, 3)	8	2	4.3	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 1, 5)	10	0	4.3	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 1)	4	6	4.3	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 2, 1, 2)	10	0	4.3	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 2, 1)	7	3	4.3	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 2, 2, 1)	10	0	4.3	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 2, 2)	8	2	4.3	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 2, 4)	10	0	4.3	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 2)	5	5	4.3	0	31.5844	0.0	0	True
87.0	393.8	0.2	1	Maxwell	(1, 2, 3, 1, 1)	10	0	4.3	0	31.5844	0.0	0	True
